M_10fthf_c;10fthf
M_2ohph_c;2ohph
M_ala_L_c;ala-L
M_amet_c;amet
M_arg_L_c;arg-L
M_asn_L_c;asn-L
M_asp_L_c;asp-L
M_ca2_c;ca2
M_cl_c;cl
M_coa_c;coa
M_cobalt2_c;cobalt2
M_ctp_c;ctp
M_cu2_c;cu2
M_cys_L_c;cys-L
M_datp_c;datp
M_dctp_c;dctp
M_dgtp_c;dgtp
M_dttp_c;dttp
M_fad_c;fad
M_fe2_c;fe2
M_fe3_c;fe3
M_gln_L_c;gln-L
M_glu_L_c;glu-L
M_gly_c;gly
M_gtp_c;gtp
M_his_L_c;his-L
M_ile_L_c;ile-L
M_k_c;k
M_kdo2lipid4_e;kdo2lipid4
M_leu_L_c;leu-L
M_lys_L_c;lys-L
M_met_L_c;met-L
M_mg2_c;mg2
M_mlthf_c;mlthf
M_mn2_c;mn2
M_mobd_c;mobd
M_murein5px4p_p;murein5px4p
M_nad_c;nad
M_nadp_c;nadp
M_nh4_c;nh4
M_pe160_c;pe160c
M_pe161_c;pe161c
M_pe160_p;pe160p
M_pe161_p;pe161p
M_phe_L_c;phe-L
M_pheme_c;pheme
M_pro_L_c;pro-L
M_pydx5p_c;pydx5p
M_ribflv_c;ribflv
M_ser_L_c;ser-L
M_sheme_c;sheme
M_so4_c;so4
M_thf_c;thf
M_thmpp_c;thmpp
M_thr_L_c;thr-L
M_trp_L_c;trp-L
M_tyr_L_c;tyr-L
M_udcpdp_c;udcpdp
M_utp_c;utp
M_val_L_c;val-L
M_zn2_c;zn2
M_atp_c;atp